"","B","kB"
"1",360.979349941015,-442.40966086335
"2",-142.791831861994,-471.710423059339
"3",696.449503485268,-73.5057596944207
"4",1177.22948958453,-153.786967599241
"5",223.545079389925,267.421070072687
"6",416.094099115806,-690.254789730653
"7",-523.154406996775,713.272275474286
"8",623.628281198387,-0.732302310027354
"9",235.128872929995,-136.369912625151
"10",-377.102432067873,-204.132765551454
"11",1177.59661064961,763.76662347782
"12",-450.015853852588,-266.649316717769
"13",575.795758214269,51.9219199999902
"14",3.60276464596329,-146.962685353836
"15",-125.750600385076,1098.70174521305
"16",240.578892656118,-485.27529789718
"17",1166.29935825164,-35.6943545953425
"18",-402.848866323845,-1534.44626049776
"19",48.0021782820195,533.851575231494
"20",1446.15125805013,-407.419953315615
"21",500.499443640902,1046.62583479323
"22",-576.754044070562,117.528764489451
"23",1338.3241088891,-147.464359676004
"24",-455.368668734039,556.588762436056
"25",316.613252249356,-399.065807543748
"26",-445.052109630549,1592.37414112848
"27",188.674326711158,141.289443291904
"28",1528.35438614708,-406.936722819984
"29",990.318705248976,256.15581500427
"30",-103.786120915781,228.038499111383
"31",-166.017254799635,-529.120966153894
"32",485.765590649326,-176.979699734992
"33",-450.458689058591,628.944931130652
"34",-382.881773070498,109.185965856006
"35",847.225463280068,28.5497247870148
"36",120.251440455457,-586.095018231048
"37",563.076150923967,235.823404105685
"38",1115.49743334094,-473.620950066706
"39",101.640096029491,223.409545636872
"40",-690.363431822801,65.0891042582086
"41",-285.691911513098,-466.989243038162
"42",-32.1072074171896,-1181.43519969506
"43",-26.1093612606613,-425.847202734093
"44",114.52332461068,235.903070906137
"45",347.654124846746,1031.20956386908
