,y1,x1,x2
1,9.941374646,1.680415263,7.748983087
2,3.080084424,8.075163991,-2.7427314
3,6.550056307,3.849423514,5.094524557
4,6.493643495,3.277343172,6.81118076
5,11.40066193,6.021006748,0.99267752
6,5.865896205,6.04394054,1.302114366
7,11.45464951,1.246334442,6.821294038
8,12.8472475,2.946009242,6.319608067
9,12.79097596,5.77609919,1.380724202
10,3.955241898,6.309792744,-0.513086316
11,10.94672543,5.120158975,4.047612627
12,6.270943726,5.050239142,1.246041549
13,4.366467663,5.340353535,2.642676409
14,12.8714822,5.572494357,1.272691973
15,7.07290114,8.679194876,-3.618346958
16,7.514226821,8.297086933,-2.391025234
17,13.9640676,1.114491534,10.03594012
18,8.964128802,7.036883589,-1.649698359
19,12.50368808,8.974882644,-3.75160579
20,11.43437329,2.797325538,8.011424654
21,11.07690493,2.282018813,7.095720787
22,14.68927218,0.153298925,8.365133676
23,9.259647431,1.289815586,10.0801411
24,9.216124514,0.933819285,7.411112735
25,10.40330075,2.368850075,6.637105696
26,11.31916064,7.911474095,-3.036947052
27,8.088326711,5.997315657,0.965944955
28,11.28421622,9.101477109,-1.298011403
29,8.463063119,5.604245539,2.98705795
30,8.353932808,7.557047692,-1.895903896
31,9.294220003,3.791718911,3.640962249
32,6.023324487,3.732809769,4.893223901
33,12.85721712,1.702906429,6.266249841
34,10.03971806,4.533073236,2.141672694
35,8.687016463,2.584139605,7.261693206
36,13.41363697,3.362659523,4.79574543
37,7.491251003,8.895830347,-2.713252393
38,10.2157109,2.019462988,8.58776522
39,7.18243706,5.791860428,1.11870953
40,4.047025826,2.076320299,5.277727709
41,13.19687558,2.814687924,4.892803987
42,5.438933574,7.862812041,-2.22655236
43,9.72583953,1.730193493,6.9830859
44,5.119690114,5.707475182,1.268293164
45,12.59709276,4.192829633,3.956566488
46,4.686145648,2.676221651,5.239919738
47,13.52279261,0.478094418,9.00891424
48,13.19676407,1.034930539,10.27218313
49,10.98069016,3.140314557,5.303761905
50,8.647297726,8.006410622,-1.82157319
51,7.815294921,2.293246954,6.505995878
52,11.42730391,2.129984407,7.266635059
53,11.86005022,8.771009059,-3.753283883
54,10.86229048,9.932219633,-3.635071213
55,11.13089881,8.442470198,-3.809034335
56,7.078415202,9.104365492,-2.571924682
57,5.231924704,4.712697323,1.401958701
58,5.67857713,2.24418408,5.059981997
59,13.12603685,1.278146566,7.968687521
60,11.25079356,2.796835124,5.915956494
61,8.589806587,8.161060603,-2.027453284
62,5.175621464,0.576129928,9.689580933
63,11.53231409,8.028292495,-3.101958262
64,13.41465607,1.043878354,6.824133143
65,5.29579945,7.666060186,-1.837241342
66,10.05107598,3.048105664,5.632779258
67,3.730216369,7.692874209,-1.763656353
68,8.504374741,5.406557263,0.980554401
69,11.70812211,3.623705322,3.756332132
70,14.03761193,0.925569162,9.164729771
71,6.480107484,7.597552552,-1.78550676
72,9.363224279,7.608199469,-1.859544842
73,6.975382762,9.032608452,-3.570051524
74,6.25889285,9.662827861,-5.093659247
75,11.64364812,5.152566228,1.960284468
76,10.24147599,5.494806739,1.076157423
77,7.301685269,1.637198969,7.342145823
78,8.506111515,1.645969537,8.647846024
79,5.636012103,7.863327775,-0.968992449
80,4.394116108,7.511134197,-0.015782315
81,12.1246168,7.842147043,0.844877531
82,10.28287452,6.543549146,0.13363632
83,9.34530059,3.781043973,6.555628234
84,13.96271658,0.085669674,9.857623365
85,11.83354682,9.553295537,-5.877343002
86,3.538518542,8.386161479,-3.959131327
87,4.423992218,2.134249376,8.278496677
88,13.31532707,4.947135563,2.324374712
89,5.274651753,6.362442563,0.130055776
90,12.14452688,9.210913931,-4.543009562
91,6.700713001,0.117440408,7.871490739
92,5.111715898,2.674029171,6.411896285
93,8.917930506,4.355721017,4.64810326
94,5.686869801,8.294670947,-1.524047044
95,6.449069861,8.709440385,-2.968693031
96,4.720626862,2.510689595,4.549533821
97,11.38088141,3.243582484,6.124955625
98,8.207447688,3.062378119,4.698601039
99,4.401473791,1.842820351,6.641740304
100,10.16901318,6.799773995,-1.265558026
101,5.576803692,7.663376736,-2.435832138
102,9.449514899,6.821322271,-0.138072979
103,6.641463922,2.091307922,6.929291501
104,8.437737293,7.11943761,-1.669812538
105,7.942966733,6.052981855,0.848412231
106,9.439056681,3.40559205,4.668355087
107,11.23074626,0.411703209,9.239668629
108,5.70382855,4.017525094,4.509118846
109,14.12759652,0.790596455,8.439548319
110,11.84372243,3.125526505,4.393547972
111,6.478438773,3.250759358,4.482638616
112,8.365271831,0.783664573,7.971590168
113,7.036344848,1.502197706,6.131639928
114,9.056934429,1.524250696,8.820114436
115,10.43066973,9.134236011,-4.134250047
116,8.233137851,7.022528991,0.069310515
117,7.355966964,8.205483221,-2.266261142
118,11.08491078,6.655630907,0.602683442
119,13.07347598,2.161851139,5.72212164
120,4.189126504,4.630624028,3.882255982
121,4.533207547,7.168530484,-1.109829137
122,6.903182453,8.221880475,-2.145354929
123,11.53861572,8.207419268,-2.522643178
124,6.642680891,1.999445518,6.582534629
125,4.212694613,6.011354907,0.234028503
126,10.77732844,4.298360019,3.38641902
127,13.01931385,6.375683318,-1.960970672
128,5.556823857,4.200240052,4.582898882
129,8.425175576,8.798700389,-3.452155142
130,7.188295567,3.207280305,3.539713851
131,7.82828699,3.153128438,5.436646324
132,5.309369637,4.935720845,3.520508335
133,7.15616079,3.376702957,3.97488111
134,5.781131417,2.227859944,7.138316247
135,11.09369648,8.302396687,-1.326046187
136,12.17547508,5.384967839,2.590673589
137,11.30365813,0.98697895,9.876508525
138,7.024036673,1.095901425,9.379068056
139,7.626151146,5.73855031,1.370470029
140,3.488059892,5.37985163,0.436587904
141,9.069125296,4.875049784,1.692899384
142,10.4436141,3.192301362,5.799437309
143,6.292406057,6.797848644,0.592319882
144,12.39989416,8.615753544,-1.600082857
145,4.629962034,8.47129043,-1.989714484
146,8.248127221,2.672736195,4.610181817
147,8.976435095,6.054034051,1.02182542
148,12.70821432,8.30954046,-4.263354249
149,10.92773471,5.916634644,2.098063752
150,8.433455985,1.988396829,7.233890509
151,6.59311319,7.726469976,-1.064590044
152,4.573604533,1.251252382,7.579796092
153,8.83142295,8.882109236,-5.040182945
154,13.37185522,3.09346762,6.389915194
155,5.725537269,6.492729594,-0.886213228
156,12.3266491,2.623943861,5.797954688
157,6.229027831,1.615633909,6.409307524
158,7.052592527,1.055069633,8.205313083
159,8.314526035,4.376803925,1.712979579
160,12.36113156,0.385207462,7.983914158
161,11.82002359,9.586769743,-3.545594826
162,12.84127334,5.077421346,2.856626632
163,7.806218474,3.623072801,4.996698405
164,6.244106595,8.794782809,-2.720713304
165,5.885056892,7.544750916,0.41976431
166,3.77348652,7.595092533,-0.487812199
167,3.597795995,8.896004704,-3.053675314
168,5.639896032,1.803501805,6.420850581
169,4.52559286,7.864885204,-2.514814299
170,10.8665727,5.473746997,1.611710108
171,4.379775459,4.974458294,3.572329678
172,10.37742391,1.087809745,6.460345518
173,5.296649346,5.867336395,1.996322371
174,7.915012557,8.973225609,-3.554689351
175,5.322284059,1.87683838,7.390357549
176,3.401387553,5.299728038,2.934300823
177,9.608197949,6.699446361,-1.752301735
178,5.431821145,7.829262733,-1.608114158
179,8.231581727,1.877037717,8.363445535
180,10.47142074,5.664008595,1.888277982
181,5.015376203,1.966027967,7.086696115
182,9.828591225,3.074095109,6.323192896
183,6.226851914,1.610884443,7.464310188
184,13.24626751,0.983194602,7.397524366
185,9.497161619,2.575627048,6.554087453
186,6.170320161,3.416119921,4.927288964
187,10.24010429,8.540463306,-2.898505273
188,6.876144291,1.239301171,8.245650381
189,11.22358833,3.479437002,3.771213668
190,13.30622351,3.2421238,4.853147893
191,8.276355878,4.718634642,4.052008147
192,12.03194308,8.511967601,-2.808836143
193,13.63215229,3.22022445,6.506495113
194,5.653607872,5.581573322,2.029325095
195,5.9393362,7.05714596,-1.283270998
196,10.64150918,3.907373955,1.876441344
197,11.30590363,8.242373916,-1.575993258
198,7.527785262,9.065314233,-4.049445692
199,7.462688773,4.171170429,3.182194427
200,4.757501253,2.791320086,6.436130745
201,10.62019879,7.314980689,0.449642757
202,10.85542279,8.604901035,-3.665796942
203,8.232748898,3.427102643,4.804003122
204,7.038312729,4.929221789,2.125708638
205,6.541203386,8.5385328,-3.728315724
206,4.220187942,3.872530004,3.543576259
207,7.672896057,7.265075285,-0.379679909
208,8.021684923,6.841217002,1.216535358
209,8.122867745,8.455329605,-5.139678471
210,4.964199059,0.328013296,8.058528068
211,3.513097892,7.284617438,-1.326730859
212,12.46957836,4.766221519,3.367390849
213,12.69549237,5.818919803,0.979083615
214,10.26627795,2.070504725,8.238279374
215,12.43256529,0.288660068,9.820139237
216,10.28607419,9.732611377,-5.552687466
217,5.247630481,2.474352419,5.284576958
218,5.988781507,1.196776887,8.75583204
219,3.569434306,6.848619967,0.059438799
220,9.727728783,7.342961594,-0.868739553
221,10.38721782,3.216710584,4.753232929
222,9.45346499,8.104681231,-2.152836536
223,11.32119164,3.898378408,3.449040671
224,6.172360919,5.960817649,2.507563677
225,11.76243353,3.395505245,3.583681724
226,8.580869368,7.180540205,-1.231448362
227,9.023127177,9.472512489,-4.701441714
228,9.085975589,0.814313598,10.80640753
